Weight,Height
68.72700594,134.7987383
97.53571532,147.2728209
86.59969709,143.7586524
79.93292421,130.0286175
57.80093202,127.8021066
57.79972602,130.6854259
52.90418061,133.8415605
93.30880729,144.0630526
80.05575059,135.9854073
85.40362889,140.1930292
51.02922471,130.0916229
98.49549261,150.8915019
91.62213204,143.162265
60.61695553,132.8748149
59.09124836,130.0310119
59.17022549,134.4283377
65.21211215,129.0957906
76.23782158,136.4806001
71.59725093,133.8380847
64.56145701,124.9631538
80.59264474,141.7769238
56.97469303,129.7926229
64.60723243,132.3291835
68.31809216,132.9861104
72.80349921,129.3248959
89.25879807,142.5261724
59.98368911,128.278272
75.71172192,133.8444746
79.62072844,139.0039357
52.32252064,128.1815146
80.3772426,149.6195508
58.52620618,130.1359922
53.25257965,127.9140418
97.44427686,148.3499089
98.28160165,139.5469448
90.41986741,145.0773643
65.23068846,132.9164953
54.8836057,139.7580134
84.21165133,141.1440208
72.00762469,137.5115491
56.10191174,127.877397
74.75884551,131.5360326
51.71942606,131.5738271
95.4660201,151.4926752
62.93899908,135.4246593
83.12611422,137.0161198
65.5855538,139.8067485
76.00340106,130.9924452
77.33551397,141.6020425
59.24272278,140.5736395
98.47923139,144.2869341
88.75664117,141.5468319
96.97494708,148.9857304
94.74136752,144.8533055
79.89499894,132.1941823
96.09371175,148.3896707
54.4246251,121.900794
59.79914312,132.2675337
52.26136445,121.5335611
66.26651654,140.8829303
69.43386448,130.8006658
63.56745159,130.1734182
91.43687546,149.7860238
67.83766633,127.7645116
64.04672548,133.1606624
77.13480416,145.1031159
57.04621125,120.4856895
90.10984904,145.9780938
53.72753218,128.1631801
99.34434683,153.5812878
88.61223846,138.1213657
59.93578408,123.365609
50.27610586,127.7477608
90.77307142,146.8714591
85.34286719,143.9238978
86.4503584,144.9574202
88.56351733,140.8816351
53.70223259,128.0123848
67.92328643,135.4270056
55.79345298,124.3249694
93.15517129,155.9064582
81.16490634,142.9516178
66.54490124,127.3159331
53.17791751,129.8717268
65.54911609,127.9011497
66.2591661,137.0650061
86.48030892,149.0331324
81.87787357,136.8355252
94.36063713,151.9971992
73.61074626,138.8692778
55.9797123,132.1001569
85.66223936,152.3150846
88.03925243,142.7926856
78.06385988,135.2632491
88.548359,139.8266074
74.68977982,133.2658385
76.13664147,137.6828122
71.37705092,137.3942853
51.27095634,127.0189322
55.39457135,131.8332019
