year,month,interest_rate,unemployment_rate,index_price
2006,9,3.7073441283344657,8.910212325826366,936.1912385815989
2019,7,9.457642187168933,5.3429158535765335,1501.1949177747656
2014,9,3.570427854197175,11.669425383138064,897.4665241707394
2010,8,5.428510906561978,6.3692683492902695,1083.7179120213368
2007,1,7.17868010950419,3.291791597177446,1230.4331338358932
2020,12,3.9544812226032926,10.745667550886013,970.0981093662637
2006,8,9.731929785849127,5.125328152884587,1263.088566128036
2018,8,9.643249301950057,14.285503012234972,1078.5877326507816
2022,11,2.8919318103409593,14.447142924031048,898.3356853890705
2010,3,5.223860805977662,13.978372682645382,958.0050501770834
2010,1,3.3583439432593116,7.441904403065333,988.2394577440201
2023,8,3.205984696585942,3.185479398346409,1156.4516143161775
2020,3,0.8504259998680616,14.139822751052705,721.2520625771641
2003,3,6.29086117280902,8.138209779807772,1202.796611668734
2007,1,5.2754507206741845,14.599857828524035,881.0255766165144
2023,11,0.9890481368748989,14.563439725071035,773.0361238396047
2002,5,3.1471414102478086,13.236113465608321,760.1507902525633
2021,10,9.128525916683211,6.533386704835028,1368.4695250449677
2020,7,2.775837961336238,7.621172743223103,1042.514850609471
2001,10,1.8765012848666194,13.213640058202284,708.7206038884639
2023,9,5.149801222636849,6.803064061875332,1073.5292901511496
2011,12,9.863679314050707,5.03391296023311,1461.193614979415
2005,7,2.799525079359254,9.681615149500201,843.7711155943902
2001,9,6.885287700355846,14.233857289929372,1027.8145484007239
2020,8,7.735386345622817,11.352357560099676,1180.541016116449
2000,12,2.7575566679277967,9.84073404107238,846.2044329462058
2011,2,7.418055311812666,4.166117925249223,1322.8855848383284
2021,1,3.9939397608329057,10.380086720390036,987.8694920017684
2011,7,6.506905390639005,14.88064620125116,909.6042451917973
2024,7,6.5185322522285,4.681008182838289,1315.8762801905625
2016,8,5.589859498710205,9.21995582836484,1127.1438234438986
2009,5,1.357752815516879,13.528476863135465,683.8068474495316
2015,3,8.43537370809776,11.889223413050454,1108.9801247680605
2014,12,3.5474106172314905,11.364188891943215,888.6704320574601
